KT,Inst,Adr,Ort,Typ,RWStatus,Akt,SL,WB,AnzStand,SA,PtageStatT,AustStatT,NeugStatT,Ops,Gebs,CMIb,CMIn,pPatWAU,pPatWAK,pPatLKP,pPatHOK,PersA,PersP,PersMT,PersT,PersAFall,PersPFall,PersMTFall,PersTFall,AnzBelA,AnzBelP,AwBesold,AwInvest,AwSonst,AwT,EtMedL,EtSonst,EtSubv,FiErg,PtageStatA,AustStatA,BettenStatA,DADStatA,pBettenBelStatA,KostAmbA,KostOKPAmbA,KostStatA,KostKVGStatA,AnlKVGStatA,KostZvOKPStatA,AnlZvOKPStatA,KostLangA,AuftragLFA,ErlAmbA,ErlOKPAmbA,ErlStatA,ErlKVGStatA,ErlKVGStatVA,ErlZvOKPStatA,ErlZvOKPStatVA,ErlLangA,PtageStatP,AustStatP,BettenStatP,DADStatP,pBettenBelStatP,KostAmbP,KostOKPAmbP,KostStatP,KostKVGStatP,AnlKVGStatP,KostZvOKPStatP,AnlZvOKPStatP,KostLangP,AuftragLFP,ErlAmbP,ErlOKPAmbP,ErlStatP,ErlKVGStatP,ErlKVGStatVP,ErlZvOKPStatP,ErlZvOKPStatVP,ErlLangP,PtageStatR,AustStatR,BettenStatR,DADStatR,pBettenBelStatR,KostAmbR,KostOKPAmbR,KostStatR,KostKVGStatR,AnlKVGStatR,KostZvOKPStatR,AnlZvOKPStatR,KostLangR,AuftragLFR,ErlAmbR,ErlOKPAmbR,ErlStatR,ErlKVGStatR,ErlKVGStatVR,ErlZvOKPStatR,ErlZvOKPStatVR,ErlLangR,PtageStatB,AustStatB,BettenStatB,DADStatB,pBettenBelStatB,KostAmbB,KostOKPAmbB,KostStatB,KostKVGStatB,AnlKVGStatB,KostZvOKPStatB,AnlZvOKPStatB,KostLangB,AuftragLFB,ErlAmbB,ErlOKPAmbB,ErlStatB,ErlKVGStatB,ErlKVGStatVB,ErlZvOKPStatB,ErlZvOKPStatVB,ErlLangB
AG,RehaClinic Zurzach,Quellenstrasse 34,5330 Bad Zurzach,K221,priv,R,,"MSt, Arzt, BGs",5.0,,82843,3473.0,0.0,0.0,NA,NA,NA,0.9024,75.3587,33.1693,94.9959,27.9,133.9,NA,418.5,0.8,3.9,NA,12.0,0,NA,39606000,7182000,16313000,63101000,56848000,2643000,1238000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Rehaklinik Bellikon,Mutschellenstrasse 2,5454 Bellikon,K221,oeff,R,,"Arzt, BGs",1.0,,70483,1576.0,0.0,0.0,NA,NA,NA,5.5743,80.9183,8.6149,12.8378,35.7,68.5,NA,361.0,2.3,4.3,NA,22.9,0,NA,46984000,7065000,11522000,65571000,63691000,2424000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Reha Rheinfelden,Salinenstrasse 98,4310 Rheinfelden,K221,priv,R,,"MSt, Arzt, BGs",1.0,"MRI, CT, PET",53580,1907.0,0.0,0.0,NA,NA,NA,2.8841,60.6911,34.0325,91.9769,34.6,97.1,NA,398.5,1.8,5.1,NA,20.9,0,NA,34770000,3526000,7601000,45897000,43776000,1677000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,"aarReha Schinznach Rehabilitation, Rheumatologie",Badstrasse 55,5116 Schinznach Bad,K221,priv,R,,"Arzt, BGs",1.0,,31525,1576.0,0.0,0.0,NA,NA,NA,0.1862,41.2935,33.4575,94.8479,14.8,29.4,NA,135.8,0.9,1.9,NA,8.6,2,NA,12087000,1115000,3418000,16620000,16417000,434000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Bad Schinznach AG Privat­Klinik Im Park,Badstrasse 50,5116 Schinznach Bad,K221,priv,R,,,1.0,,17125,770.0,0.0,0.0,NA,NA,NA,0.4957,66.0025,84.8823,100,4.0,22.7,NA,107.5,0.5,2.9,NA,14.0,1,NA,9673000,1548000,3687000,14908000,15353000,562000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Privatklinik SALINA Salina Medizin AG,Roberstenstrasse 31,4310 Rheinfelden,K221,priv,R,,"Arzt, BGs",1.0,,7443,437.0,0.0,0.0,NA,NA,NA,3.0374,89.3976,42.9907,100,3.6,14.5,NA,58.0,0.8,3.3,NA,13.3,0,NA,5771000,1452000,2714000,9937000,9908000,142000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Klinik Villa im Park AG,Bernstrasse 84,4852 Rothrist,K232,priv,A,,BGs,1.0,,7551,2195.0,519.0,2.0,NA,0.664,0.646,0.0367,62.1562,17.9985,86.2903,17.6,28.7,NA,98.5,0.8,1.3,NA,4.5,48,NA,5963000,1004000,3910000,10877000,11027000,184000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Geburtshus Storchenäscht AG,Bahnhofstrasse 11,5600 Lenzburg,K232,priv,B,,,1.0,,512,128.0,128.0,0.0,NA,0.393,0.389,0,6.9231,2.3077,100,0.0,0.0,NA,7.8,0.0,0.0,NA,6.1,5,NA,444000,88000,135000,667000,551000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Klinik Barmelweid AG,,5017 Barmelweid,K235,oeff,"A, P, R",,"MSt, Arzt, BGs",1.0,,43894,2414.0,0.0,0.0,NA,NA,NA,0.2478,30.6004,25.7745,98.7608,32.6,83.4,NA,276.1,1.4,3.5,NA,11.4,4,NA,25669000,948000,10768000,37385000,34688000,1113000,1638000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Von Effinger­Stiftung Klinik im Hasel für Suchtkranke,Hasel 837,5728 Gontenschwil,K235,oeff,P,,Arzt,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Klinik für Suchtmedizin KSM Drogenentzug / Übergang / Krisenintervention,Zürcherstrasse 52,5432 Neuenhof,K235,priv,P,,"Arzt, BGs",1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,Klinik für Schlafmedizin,Badstrasse 33,5330 Bad Zurzach,K235,priv,A,,,1.0,,1488,140.0,0.0,0.0,NA,NA,NA,7.8571,70.5426,62.1429,100,5.0,6.9,NA,16.6,3.6,4.9,NA,11.8,0,NA,2640000,543000,1005000,4188000,4253000,60000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,Kantonales Spital Appenzell,Sonnhalde 2a,9050 Appenzell,K123,oeff,A,NF,BGs,1.0,,8433,1690.0,132.0,2.0,NA,0.701,0.723,4.6103,25.6041,29.2536,82.3271,2.2,36.1,NA,112.6,0.1,2.1,NA,6.7,22,NA,12033000,1678000,3578000,17289000,10585000,735000,5969000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,Hof Weissbad AG Nachbehandlungszentrum,Im Park 1,9057 Weissbad,K221,priv,R,,,1.0,,5002,329.0,0.0,0.0,NA,NA,NA,2.7027,97.8395,97.8979,99.6997,1.3,3.2,NA,13.7,0.4,1.0,NA,4.2,2,NA,1568000,391000,1806000,3765000,3612000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,Spitalverbund AR Spital Herisau,Spitalstrasse 6,9100 Herisau,K122,oeff,A,,"Arzt, BGs",1.0,MRI,24237,3898.0,502.0,3.0,NA,0.795,0.846,0.2937,32.8121,17.0131,94.4871,36.1,120.2,NA,307.3,0.9,3.1,NA,7.9,30,NA,31374000,1228000,13754000,46356000,29554000,3146000,13656000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,Spitalverbund AR Spital Heiden,Werdstrasse 1,9410 Heiden,K122,oeff,A,,"Arzt, BGs",1.0,CT,12809,2258.0,463.0,2.0,NA,0.723,0.737,0.5111,47.9266,15.261,94.3775,25.8,65.9,NA,199.3,1.1,2.9,NA,8.8,19,NA,20317000,1500000,6734000,28551000,17039000,2340000,9172000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,Spitalverbund AR Psychiatrisches Zentrum,Krombach 3,9100 Herisau,K211,oeff,P,,"Arzt, BGs",1.0,,57242,529.0,0.0,0.0,NA,NA,NA,0,37.2047,0,100,17.6,144.3,NA,244.4,3.3,27.3,NA,46.2,1,NA,21573000,395000,6366000,28334000,15983000,1127000,11224000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
